CASO,EDAD,GENERO,GENERO,VINCULO,PROVINCIA,ID PROVINCIA,MODALIDAD,FECHA
96,21,MUJER,0,PRINCIPAL,Córdoba,5,QUEMADURAS,2013-01-01
367,10,,3,VINCULADO,Buenos Aires,0,ACUCHILLAMIENTO,2013-01-02
367,34,MUJER,0,PRINCIPAL,Buenos Aires,0,ACUCHILLAMIENTO,2013-01-02
195,7,,3,PRINCIPAL,Misiones,13,OTROS,2013-01-09
303,63,MUJER,0,PRINCIPAL,Buenos Aires,0,GOLPES,2013-01-13
196,40,MUJER,0,PRINCIPAL,Misiones,13,ACUCHILLAMIENTO,2013-01-13
242,37,MUJER,0,PRINCIPAL,Mendoza,12,DISPARO DE BALA,2013-01-16
233,21,MUJER,0,PRINCIPAL,Neuquen,14,DISPARO DE BALA,2013-01-17
238,32,MUJER,0,PRINCIPAL,Santa Fe,20,APUÑALAMIENTO,2013-01-19
340,18,MUJER,0,PRINCIPAL,San Luis,18,DISPARO DE BALA,2013-01-19
428,26,MUJER,0,PRINCIPAL,Buenos Aires,0,,2013-01-30
350,78,MUJER,0,PRINCIPAL,Córdoba,5,DISPARO DE BALA,2013-02-06
124,31,MUJER,0,PRINCIPAL,Buenos Aires,0,QUEMADURAS,2013-02-08
176,47,MUJER,0,PRINCIPAL,Córdoba,5,ACUCHILLAMIENTO,2013-02-08
93,34,MUJER,0,PRINCIPAL,Ciudad Autónoma de Bs.As.,4,,2013-02-09
1096,20,MUJER,0,PRINCIPAL,Buenos Aires,0,OTROS,2013-02-10
281,22,MUJER,0,PRINCIPAL,Santiago del Estero,21,DISPARO DE BALA,2013-02-11
368,23,MUJER,0,PRINCIPAL,Entre Ríos,7,ESTRANGULAMIENTO,2013-02-11
357,25,MUJER,0,PRINCIPAL,Córdoba,5,,2013-02-12
682,23,MUJER,0,PRINCIPAL,Entre Ríos,7,GOLPES,2013-02-12
793,14,MUJER,0,PRINCIPAL,Buenos Aires,0,GOLPES,2013-02-12
197,47,MUJER,0,PRINCIPAL,Misiones,13,,2013-02-14
189,19,MUJER,0,PRINCIPAL,Buenos Aires,0,OTROS,2013-02-14
249,34,MUJER,0,PRINCIPAL,Chaco,2,DISPARO DE BALA,2013-02-17
351,25,MUJER,0,PRINCIPAL,Córdoba,5,ESTRANGULAMIENTO,2013-02-20
465,11,MUJER,0,PRINCIPAL,,,OTROS,2013-02-23
474,30,MUJER,0,PRINCIPAL,Jujuy,9,DISPARO DE BALA,2013-02-24
352,34,MUJER,0,PRINCIPAL,Córdoba,5,,2013-03-03
3,23,MUJER,0,PRINCIPAL,Catamarca,1,GOLPES,2013-03-05
464,25,MUJER,0,PRINCIPAL,Santa Fe,20,GOLPES,2013-03-07
321,21,MUJER,0,PRINCIPAL,,,ACUCHILLAMIENTO,2013-03-08
423,43,MUJER,0,PRINCIPAL,Córdoba,5,ACUCHILLAMIENTO,2013-03-08
354,46,MUJER,0,VINCULADO,Córdoba,5,ACUCHILLAMIENTO,2013-03-12
204,41,MUJER,0,PRINCIPAL,Santiago del Estero,21,ACUCHILLAMIENTO,2013-03-13
391,27,MUJER,0,PRINCIPAL,Salta,16,ACUCHILLAMIENTO,2013-03-13
144,21,MUJER,0,PRINCIPAL,Córdoba,5,DISPARO DE BALA,2013-03-17
97,24,MUJER,0,PRINCIPAL,Córdoba,5,DISPARO DE BALA,2013-03-24
469,19,MUJER,0,PRINCIPAL,Entre Ríos,7,DISPARO DE BALA,2013-03-24
370,48,,3,VINCULADO,Buenos Aires,0,DISPARO DE BALA,2013-03-25
230,30,MUJER,0,PRINCIPAL,,,DISPARO DE BALA,2013-03-25
95,38,MUJER,0,PRINCIPAL,Chaco,2,ACUCHILLAMIENTO,2013-03-26
346,31,TRANSGENERO,3,PRINCIPAL,Santa Fe,20,,2013-03-29
119,27,MUJER,0,PRINCIPAL,Santa Fe,20,QUEMADURAS,2013-03-30
236,36,MUJER,0,PRINCIPAL,,,,2013-03-31
73,25,MUJER,0,PRINCIPAL,Santa Fe,20,QUEMADURAS,2013-04-01
989,30,MUJER,0,PRINCIPAL,Tucumán,23,DISPARO DE BALA,2013-04-01
201,21,MUJER,0,PRINCIPAL,Misiones,13,DISPARO DE BALA,2013-04-06
200,24,MUJER,0,PRINCIPAL,Misiones,13,GOLPES,2013-04-06
568,33,MUJER,0,PRINCIPAL,Neuquen,14,DISPARO DE BALA,2013-04-18
282,55,MUJER,0,PRINCIPAL,Santiago del Estero,21,DISPARO DE BALA,2013-04-21
439,32,MUJER,0,PRINCIPAL,Córdoba,5,ACUCHILLAMIENTO,2013-04-21
285,34,,3,PRINCIPAL,Santiago del Estero,21,DISPARO DE BALA,2013-04-28
443,40,MUJER,0,PRINCIPAL,,,DISPARO DE BALA,2013-04-30
232,48,MUJER,0,PRINCIPAL,Corrientes,6,DEGOLLAMIENTO,2013-05-01
458,36,MUJER,0,PRINCIPAL,Buenos Aires,0,ACUCHILLAMIENTO,2013-05-01
440,21,MUJER,0,PRINCIPAL,Córdoba,5,ACUCHILLAMIENTO,2013-05-03
362,50,MUJER,0,PRINCIPAL,Buenos Aires,0,GOLPES,2013-05-06
389,21,,3,PRINCIPAL,Mendoza,12,ACUCHILLAMIENTO,2013-05-07
413,31,MUJER,0,PRINCIPAL,Córdoba,5,ASFIXIA,2013-05-07
309,32,TRANSGENERO,3,PRINCIPAL,Tierra del Fuego,22,ACUCHILLAMIENTO,2013-05-12
713,32,TRANSGENERO,3,PRINCIPAL,Tierra del Fuego,22,ACUCHILLAMIENTO,2013-05-12
107,31,MUJER,0,PRINCIPAL,Corrientes,6,GOLPES,2013-05-14
434,9,MUJER,0,PRINCIPAL,Salta,16,,2013-05-18
371,33,MUJER,0,PRINCIPAL,Buenos Aires,0,GOLPES,2013-05-20
178,52,MUJER,0,PRINCIPAL,Chaco,2,GOLPES,2013-05-22
962,30,MUJER,0,PRINCIPAL,Buenos Aires,0,AHORCAMIENTO,2013-05-22
339,34,MUJER,0,PRINCIPAL,San Juan,17,GOLPES,2013-05-26
60,53,MUJER,0,PRINCIPAL,Buenos Aires,0,,2013-05-29
463,3,,3,VINCULADO,Corrientes,6,DISPARO DE BALA,2013-05-30
463,7,,3,VINCULADO,Corrientes,6,DISPARO DE BALA,2013-05-30
287,29,MUJER,0,PRINCIPAL,Santiago del Estero,21,ACUCHILLAMIENTO,2013-06-01
183,33,MUJER,0,PRINCIPAL,Buenos Aires,0,GOLPES,2013-06-02
86,22,MUJER,0,PRINCIPAL,Buenos Aires,0,DISPARO DE BALA,2013-06-04
411,47,MUJER,0,PRINCIPAL,Córdoba,5,ACUCHILLAMIENTO,2013-06-08
78,16,MUJER,0,PRINCIPAL,Ciudad Autónoma de Bs.As.,4,GOLPES,2013-06-10
398,45,MUJER,0,PRINCIPAL,Buenos Aires,0,GOLPES,2013-06-12
471,30,MUJER,0,PRINCIPAL,Entre Ríos,7,ACUCHILLAMIENTO,2013-06-17
424,29,MUJER,0,PRINCIPAL,Córdoba,5,ACUCHILLAMIENTO,2013-06-18
80,25,MUJER,0,PRINCIPAL,Chubut,3,DISPARO DE BALA,2013-06-21
372,22,MUJER,0,PRINCIPAL,Córdoba,5,OTROS,2013-06-30
61,15,MUJER,0,PRINCIPAL,Chaco,2,,2013-06-30
74,34,MUJER,0,PRINCIPAL,Buenos Aires,0,,2013-07-06
462,21,MUJER,0,PRINCIPAL,Salta,16,ESTRANGULAMIENTO,2013-07-08
385,45,,3,PRINCIPAL,Mendoza,12,GOLPES,2013-07-12
455,22,MUJER,0,PRINCIPAL,Entre Ríos,7,OTROS,2013-07-15
85,38,MUJER,0,PRINCIPAL,Buenos Aires,0,ACUCHILLAMIENTO,2013-07-20
460,68,MUJER,0,PRINCIPAL,Río Negro,15,GOLPES,2013-07-26
288,41,MUJER,0,PRINCIPAL,Santiago del Estero,21,ACUCHILLAMIENTO,2013-07-27
431,67,MUJER,0,PRINCIPAL,Córdoba,5,GOLPES,2013-07-28
737,2,MUJER,0,VINCULADO,Buenos Aires,0,GOLPES,2013-08-17
373,15,MUJER,0,PRINCIPAL,Entre Ríos,7,DISPARO DE BALA,2013-08-18
467,41,MUJER,0,PRINCIPAL,Entre Ríos,7,ACUCHILLAMIENTO,2013-08-28
401,20,MUJER,0,PRINCIPAL,Buenos Aires,0,GOLPES,2013-08-31
329,11,,3,PRINCIPAL,Chubut,3,ESTRANGULAMIENTO,2013-09-02
250,41,MUJER,0,PRINCIPAL,Chaco,2,DISPARO DE BALA,2013-09-02
54,15,MUJER,0,PRINCIPAL,Buenos Aires,0,,2013-09-07
202,24,MUJER,0,PRINCIPAL,Misiones,13,DISPARO DE BALA,2013-09-15
203,29,MUJER,0,PRINCIPAL,Misiones,13,ACUCHILLAMIENTO,2013-09-21
104,35,MUJER,0,PRINCIPAL,Córdoba,5,DISPARO DE BALA,2013-09-26
341,16,MUJER,0,PRINCIPAL,San Juan,17,GOLPES,2013-09-28
53,19,MUJER,0,PRINCIPAL,Buenos Aires,0,ESTRANGULAMIENTO,2013-09-30
261,20,MUJER,0,PRINCIPAL,Catamarca,1,GOLPES,2013-10-04
319,35,MUJER,0,PRINCIPAL,,,GOLPES,2013-10-06
251,19,MUJER,0,PRINCIPAL,Chaco,2,ACUCHILLAMIENTO,2013-10-14
205,27,MUJER,0,PRINCIPAL,Misiones,13,DISPARO DE BALA,2013-10-17
205,25,MUJER,0,VINCULADO,Misiones,13,DISPARO DE BALA,2013-10-17
290,19,,3,PRINCIPAL,Santiago del Estero,21,ACUCHILLAMIENTO,2013-10-19
364,25,MUJER,0,PRINCIPAL,Buenos Aires,0,ESTRANGULAMIENTO,2013-10-20
291,53,,3,PRINCIPAL,Santiago del Estero,21,DISPARO DE BALA,2013-10-21
461,25,MUJER,0,PRINCIPAL,Buenos Aires,0,GOLPES,2013-10-25
252,41,MUJER,0,VINCULADO,Chaco,2,ACUCHILLAMIENTO,2013-10-26
252,21,MUJER,0,PRINCIPAL,Chaco,2,ACUCHILLAMIENTO,2013-10-26
420,35,MUJER,0,PRINCIPAL,Córdoba,5,ACUCHILLAMIENTO,2013-10-26
407,17,MUJER,0,PRINCIPAL,Buenos Aires,0,DISPARO DE BALA,2013-10-26
472,48,MUJER,0,PRINCIPAL,Entre Ríos,7,DISPARO DE BALA,2013-10-29
289,17,MUJER,0,PRINCIPAL,Santiago del Estero,21,GOLPES,2013-10-30
